instruction,context,response,category
What is the key to longevity?,,"Researchers and doctors have been studying this for many years and a number of patterns has consistently shown to be true: It's a combination of nutrition, exercise and sleep. From a nutrition perspective, a predominantly plant-based diet is the way to go. The Mediterranean diet continues to outperform all other diets year after year. A plant-based diet can not only prevent disease but it can reverse cardiovascular illness and many others. We now also have enough evidence on the importance of movement, exercise and specifically a combination of resistance and endurance training. Muscle growth is not only positive for the muscles themselves but it also positively affects bone density (which we tend to lose as we age), as well as effects on your immune system, gut microbiome and even mental health. The positives are endless. Lastly, if we do not get proper sleep (typically 7-9hours/night), the other two factors, diet and exercise, will not be optimal. Consistency in going to sleep and waking up at the same time is crucial to overall wellbeing and recovery. 
Researchers of the Blue Zones argue that another crucial part to living healthily into old age is the social circle or community we are part of. 
If you want to live a long and healthy life, eat more plants, exercise, get some sleep and spend time with your friends and family.",general_qa
"I have a vegan friend coming over for dinner, which of the items in my kitchen can I use to make vegan food: chicken, kale, lettuce, honey, eggplant, tomato, rice,  cheese, yoghurt, ice-cream and chocolate.",,"To prepare a vegan meal you will be able to use any items that do not contain animal products. From the list provided, you can use: lettuce, eggplant, tomato and rice.",classification
"From the following passage, which taxes/acts led to the American Revolution?","1764–1766: Taxes imposed and withdrawn
Main articles: Sugar Act, Currency Act, Quartering Acts, Stamp Act 1765, and Declaratory Act
Further information: No taxation without representation and Virtual representation

Notice of the Stamp Act 1765 in a colonial newspaper
In 1764 Parliament passed the Sugar Act, decreasing the existing customs duties on sugar and molasses but providing stricter measures of enforcement and collection. That same year, Prime Minister George Grenville proposed direct taxes on the colonies to raise revenue, but he delayed action to see whether the colonies would propose some way to raise the revenue themselves.

Grenville had asserted in 1762 that the whole revenue of the custom houses in America amounted to one or two thousand pounds sterling a year, and that the English exchequer was paying between seven and eight thousand pounds a year to collect. Adam Smith wrote in The Wealth of Nations that Parliament ""has never hitherto demanded of [the American colonies] anything which even approached to a just proportion to what was paid by their fellow subjects at home."" Benjamin Franklin would later testify in Parliament in 1766 to the contrary, reporting that Americans already contributed heavily to the defense of the Empire. He argued that local colonial governments had raised, outfitted, and paid 25,000 soldiers to fight France in just the French and Indian War alone—as many as Britain itself sent—and spent many millions from American treasuries doing so.

Parliament finally passed the Stamp Act in March 1765, which imposed direct taxes on the colonies for the first time. All official documents, newspapers, almanacs, and pamphlets were required to have the stamps—even decks of playing cards. The colonists did not object that the taxes were high; they were actually low. They objected to their lack of representation in the Parliament, which gave them no voice concerning legislation that affected them. The British were, however, reacting to an entirely different issue: at the conclusion of the recent war the Crown had to deal with approximately 1,500 politically well-connected British Army officers. The decision was made to keep them on active duty with full pay, but they—and their commands—also had to be stationed somewhere. Stationing a standing army in Great Britain during peacetime was politically unacceptable, so they determined to station them in America and have the Americans pay them through the new tax. The soldiers had no military mission however; they were not there to defend the colonies because there was no current threat to the colonies.

The Sons of Liberty formed shortly after the Act in 1765, and they used public demonstrations, boycotts, and threats of violence to ensure that the British tax laws were unenforceable. In Boston, the Sons of Liberty burned the records of the vice admiralty court and looted the home of chief justice Thomas Hutchinson. Several legislatures called for united action, and nine colonies sent delegates to the Stamp Act Congress in New York City in October. Moderates led by John Dickinson drew up a Declaration of Rights and Grievances stating that taxes passed without representation violated their rights as Englishmen, and colonists emphasized their determination by boycotting imports of British merchandise.

The Parliament at Westminster saw itself as the supreme lawmaking authority throughout the Empire and thus entitled to levy any tax without colonial approval or even consultation. They argued that the colonies were legally British corporations subordinate to the British Parliament, and they pointed to numerous instances where Parliament had made laws in the past that were binding on the colonies. Parliament insisted that the colonists effectively enjoyed a ""virtual representation"", as most British people did, since only a small minority of the British population elected representatives to Parliament. However, Americans such as James Otis maintained that there was no one in Parliament responsible specifically for any colonial constituency, so they were not ""virtually represented"" by anyone in Parliament at all.

The Rockingham government came to power in July 1765, and Parliament debated whether to repeal the stamp tax or to send an army to enforce it. Benjamin Franklin made the case for repeal, explaining that the colonies had spent heavily in manpower, money, and blood defending the empire in a series of wars against the French and indigenous people, and that further taxes to pay for those wars were unjust and might bring about a rebellion. Parliament agreed and repealed the tax on February 21, 1766, but they insisted in the Declaratory Act of March 1766 that they retained full power to make laws for the colonies ""in all cases whatsoever"". The repeal nonetheless caused widespread celebrations in the colonies.

1767–1773: Townshend Acts and the Tea Act
Main articles: Townshend Acts and Tea Act
Further information: Crisis of 1772, Massachusetts Circular Letter, Boston Massacre, and Boston Tea Party

Letter III of John Dickinson's Letters from a Farmer in Pennsylvania, published in the Pennsylvania Chronicle, December 1767
In 1767, the Parliament passed the Townshend Acts which placed duties on a number of staple goods, including paper, glass, and tea, and established a Board of Customs in Boston to more rigorously execute trade regulations. The new taxes were enacted on the belief that Americans only objected to internal taxes and not to external taxes such as custom duties. However, in his widely read pamphlet, Letters from a Farmer in Pennsylvania, John Dickinson argued against the constitutionality of the acts because their purpose was to raise revenue and not to regulate trade. Colonists responded to the taxes by organizing new boycotts of British goods. These boycotts were less effective, however, as the goods taxed by the Townshend Acts were widely used.

In February 1768, the Assembly of Massachusetts Bay issued a circular letter to the other colonies urging them to coordinate resistance. The governor dissolved the assembly when it refused to rescind the letter. Meanwhile, a riot broke out in Boston in June 1768 over the seizure of the sloop Liberty, owned by John Hancock, for alleged smuggling. Customs officials were forced to flee, prompting the British to deploy troops to Boston. A Boston town meeting declared that no obedience was due to parliamentary laws and called for the convening of a convention. A convention assembled but only issued a mild protest before dissolving itself. In January 1769, Parliament responded to the unrest by reactivating the Treason Act 1543 which called for subjects outside the realm to face trials for treason in England. The governor of Massachusetts was instructed to collect evidence of said treason, and the threat caused widespread outrage, though it was not carried out.

On March 5, 1770, a large crowd gathered around a group of British soldiers on a Boston street. The crowd grew threatening, throwing snowballs, rocks, and debris at them. One soldier was clubbed and fell. There was no order to fire, but the soldiers panicked and fired into the crowd. They hit 11 people; three civilians died of wounds at the scene of the shooting, and two died shortly after the incident. The event quickly came to be called the Boston Massacre. The soldiers were tried and acquitted (defended by John Adams), but the widespread descriptions soon began to turn colonial sentiment against the British. This accelerated the downward spiral in the relationship between Britain and the Province of Massachusetts.

A new ministry under Lord North came to power in 1770, and Parliament withdrew all taxes except the tax on tea, giving up its efforts to raise revenue while maintaining the right to tax. This temporarily resolved the crisis, and the boycott of British goods largely ceased, with only the more radical patriots such as Samuel Adams continuing to agitate.[citation needed]


On June 9, 1772, the Sons of Liberty burned HMS Gaspee, a British customs schooner in Narragansett Bay.
In June 1772, American patriots, including John Brown, burned a British warship that had been vigorously enforcing unpopular trade regulations, in what became known as the Gaspee Affair. The affair was investigated for possible treason, but no action was taken.

In 1772, it became known that the Crown intended to pay fixed salaries to the governors and judges in Massachusetts, which had been paid by local authorities. This would reduce the influence of colonial representatives over their government. Samuel Adams in Boston set about creating new Committees of Correspondence, which linked Patriots in all 13 colonies and eventually provided the framework for a rebel government. Virginia, the largest colony, set up its Committee of Correspondence in early 1773, on which Patrick Henry and Thomas Jefferson served.

A total of about 7,000 to 8,000 Patriots served on Committees of Correspondence at the colonial and local levels, comprising most of the leadership in their communities. Loyalists were excluded. The committees became the leaders of the American resistance to British actions, and later largely determined the war effort at the state and local level. When the First Continental Congress decided to boycott British products, the colonial and local Committees took charge, examining merchant records and publishing the names of merchants who attempted to defy the boycott by importing British goods.

In 1773, private letters were published in which Massachusetts Governor Thomas Hutchinson claimed that the colonists could not enjoy all English liberties, and in which Lieutenant Governor Andrew Oliver called for the direct payment of colonial officials. The letters' contents were used as evidence of a systematic plot against American rights, and discredited Hutchinson in the eyes of the people; the colonial Assembly petitioned for his recall. Benjamin Franklin, postmaster general for the colonies, acknowledged that he leaked the letters, which led to him being berated by British officials and removed from his position.


The December 16, 1773 Boston Tea Party, led by Samuel Adams and Sons of Liberty, has become a mainstay of American patriotic lore.
Meanwhile, Parliament passed the Tea Act lowering the price of taxed tea exported to the colonies, to help the British East India Company undersell smuggled untaxed Dutch tea. Special consignees were appointed to sell the tea to bypass colonial merchants. The act was opposed by those who resisted the taxes and also by smugglers who stood to lose business.[citation needed] In most instances, the consignees were forced by the Americans to resign and the tea was turned back, but Massachusetts governor Hutchinson refused to allow Boston merchants to give in to pressure. A town meeting in Boston determined that the tea would not be landed, and ignored a demand from the governor to disperse. On December 16, 1773, a group of men, led by Samuel Adams and dressed to evoke the appearance of indigenous people, boarded the ships of the East India Company and dumped £10,000 worth of tea from their holds (approximately £636,000 in 2008) into Boston Harbor. Decades later, this event became known as the Boston Tea Party and remains a significant part of American patriotic lore.

1774–1775: Intolerable Acts
Main article: Intolerable Acts
Further information: Quebec Act and Continental Association

A 1774 etching from The London Magazine depicts Prime Minister Lord North, author of the Boston Port Act, forcing the Intolerable Acts down the throat of America, whose arms are restrained by Lord Chief Justice Mansfield, and a tattered ""Boston Petition"" lays trampled on the ground beside her. Lord Sandwich pins down her feet and peers up her robes; behind them, Mother Britannia weeps while France and Spain look on.
The British government responded by passing several measures that came to be known as the Intolerable Acts, further darkening colonial opinion towards England. They consisted of four laws enacted by the British parliament. The first was the Massachusetts Government Act which altered the Massachusetts charter and restricted town meetings. The second act was the Administration of Justice Act which ordered that all British soldiers to be tried were to be arraigned in Britain, not in the colonies. The third Act was the Boston Port Act, which closed the port of Boston until the British had been compensated for the tea lost in the Boston Tea Party. The fourth Act was the Quartering Act of 1774, which allowed royal governors to house British troops in the homes of citizens without requiring permission of the owner.

In response, Massachusetts patriots issued the Suffolk Resolves and formed an alternative shadow government known as the Provincial Congress which began training militia outside British-occupied Boston. In September 1774, the First Continental Congress convened, consisting of representatives from each colony, to serve as a vehicle for deliberation and collective action. During secret debates, conservative Joseph Galloway proposed the creation of a colonial Parliament that would be able to approve or disapprove acts of the British Parliament, but his idea was tabled in a vote of 6 to 5 and was subsequently removed from the record.[citation needed] Congress called for a boycott beginning on December 1, 1774, of all British goods; it was enforced by new local committees authorized by the Congress.","The following Acts passed by the British Parliament led to the American Revolution:
1) The Sugar Act in 1764 provided stricter measures of enforcement and collection for sugar taxes.
2) The Stamp Act in 1765 imposed direct taxes on official documents, newspapers, almanacs, pamphlets, and playing cards.
3) The Declaratory Act in 1766 declared the British Parliament retained full taxation powers for the American Colonies.
4) The Townshend Acts in 1767 added duties to goods like paper, glass, and tea.
5) The Tea Act in 1773 lowered the taxes on tea to benefit the British East India Company.
6) The so-called Intolerable Acts in 1774 consisted of 4 laws that increased Britain's sovereignty over the American Colonies.  These laws include the rights of Britain to restrict town meetings, try British soldiers for crimes committed in the American colonies, close the port of Boston, and require housing of British troops in the homes of citizens.",information_extraction
"For the list given, classify which items are considered vegan, vegitarian and non vegetarian: milk, tofu, curd, chicken, mutton, bacon, clam, tomato, potato, onion, egg, beef, pork, mango, apple, salmon, soy milk, paneer",,"Vegan : tofu, soy milk, tomato, potato, onion, mango, apple
Vegetarian: milk, curd, paneer, tofu, soy milk, tomato, potato, onion, mango, apple
Non vegetarian: chicken, mutton, bacon, clam,egg, beef, pork, salmon",classification
What are some common bases for tacos?,,"Tacos are typically built on top of a soft wheat tortilla, soft corn tortilla, hard taco shell, lettuce, or a baked taco shell.",brainstorming
"Given a reference text about Magic the Gathering decks, please suggest cards I should consider in a Midrange deck.","Most classifications of Magic the Gathering decks begin from one of four major strategies: aggro, control, combo and midrange.

Aggro
Aggro (short for ""aggressive"") decks attempt to reduce their opponents from 20 life to 0 life as quickly as possible, rather than emphasize a long-term game plan. Aggro decks focus on converting their cards into damage; they prefer to engage in a race for tempo rather than a card advantage-based attrition war. Aggro generally relies upon creatures as its accumulative source of damage. Aggro decks can quickly overwhelm unprepared opponents and proceed to eke out the last bit of damage they need to end the game. Aggro decks also generally have access to disruptive elements, which can inhibit the opponent's attempts to respond.

Example cards: Savannah Lions, Bitterblossom, Lightning Bolt, Rogue Elephant, Incinerate
Example decks:
White Weenie, which uses small, efficient creatures such as Savannah Lions, Icatian Javelineers, and Mother of Runes
Affinity, which uses the affinity mechanic and large numbers of artifacts to quickly play spells such as Thoughtcast and Frogmite, while efficiently dealing damage using Disciple of the Vault and Arcbound Ravager.
Zoo, which uses low-cost, high power creatures such as Tarmogoyf and Wild Nacatl to kill the opponent quickly.
Sligh, which utilizes its mana as efficiently as possible to kill the opponent quickly, using low-cost cards such as Jackal Pup and Lightning Bolt.
Suicide Black, which uses efficient but dangerous cards that cost life such as Thoughtseize, Dark Confidant, Grim Tutor, and Bitterblossom. Suicide Black epitomizes Black's philosophy—win at all costs—and treats even its life total as an expendable resource.
Control
Control decks avoid racing. They attempt to slow the game down by executing an attrition plan. As the game progresses, control decks are able to take advantage of their slower, more powerful, cards. The primary strength of control decks is their ability to devalue the opponent’s cards. They do this in four ways:

Answering threats at a reduced cost. Given the opportunity, Control decks can gain card advantage by answering multiple threats with one spell (""clearing""/""wiping"" the board), stopping expensive threats with cheaper spells, and drawing multiple cards or forcing the opponent to discard multiple cards with one spell.
Not playing threats to be answered. By playing few proactive spells of their own, control decks gain virtual card advantage by reducing the usefulness of opposing removal cards.
Disrupting synergies. Even if control decks do not deal with every threat directly, they can leave out whichever ones stand poorly on their own; e.g., an enchantment which gives a bonus to creatures will never need attention if all enemy creatures are quickly neutralized.
Dragging the game out past opposing preparations. An opponent's faster, efficient cards will become less effective over time.
Example cards: Force of Will, Duress, Wrath of God, Pernicious Deed, Void
Example decks:
Tezzeret Control, which controls the game using counterspells such as Mana Drain, builds card advantage with cards such as Dark Confidant, and ends the game using Tezzeret the Seeker to find Time Vault and activate it for infinite turns.
Mono Blue Control, which uses a heavy suite of counterspells alongside card-drawing such as Thirst for Knowledge, removal such as Echoing Truth, and a win condition such as Tezzeret the Seeker. This class of deck is nicknamed ""Draw-Go,"" because most of its players' spells are instants designed to be played during his or her opponents' turns.
Blue-White Control, which is similar to Mono-Blue Control, but features more board-control cards such as Wrath of God, and Pacifism.
Psychatog, supplemented by card-drawing like Fact or Fiction and a number of disruptive spells.
Astral Slide, which uses large numbers of cards with cycling, including those with added benefits such as Eternal Dragon and Slice and Dice, to power Astral Slide and Lightning Rift.
Mono-Black Control, which uses removal spells such as Innocent Blood and Barter in Blood to control the board, and Cabal Coffers to kill the opponent with spells such as Consume Spirit. It can also use cards like Underworld Dreams to put the opponent on a timer.
The Deck, which uses card drawing such as Fact or Fiction and deck searching cards such as Demonic Tutor to find powerful cards that are highly effective against particular strategies (such as The Abyss, Diabolic Edict, and Balance), alongside a Blue base of counterspells to control the game and obtain an insurmountable lead.
Combo
Combo decks use the interaction of two or more cards (a ""combination"") to create a powerful effect that either wins the game immediately or creates a situation that subsequently leads to a win. Combo decks value consistency, speed, and resilience: the deck should be reliable enough to produce the combo on a regular basis, the deck should be able to use the combo fast enough to win before the opponent, and the deck should be able to withstand disruption and still win.

Many decks have smaller, combo-like interactions between their cards, which is better described as synergy.

Example cards: Flash, Tendrils of Agony, Empty the Warrens, Aluren, Painter's Servant.
Example decks:
The Perfect Storm, which utilizes Dark Ritual and artifact mana to draw cards and fuel a lethal Tendrils of Agony, all the while disrupting the opponent with Duress and Force of Will.
Painter Combo, which uses Painter's Servant and chooses Blue to permit Red Elemental Blast to destroy any permanent or counter any spell, while also allowing Grindstone to put the opponent's entire library into their graveyard.
Worldgorger Dragon Combo, which revolves around the infinite loop triggered when Worldgorger Dragon is animated from the graveyard using an enchantment such as Animate Dead. The loop generates mana and card drawing which is then used to end the game.
Belcher Combo, which uses free and efficient mana acceleration to play and activate Goblin Charbelcher, preferably on the first turn. Because the deck has two or fewer lands, one activation of Goblin Charbelcher will almost always kill the opponent.
Hulk-Flash, which is dedicated to casting Flash and putting a Protean Hulk into play and then into the graveyard, allowing the player to find a combination of creatures which will kill the opponent instantly. Summoner's Pact and Merchant Scroll are used to find the combo pieces, while Force of Will and Pact of Negation protect the combo.
Steel City Vault, which uses ""Draw 7"" spells such as Timetwister to rapidly assemble the Time Vault-Voltaic Key combo for infinite turns. The deck also uses several cards such as Force of Will and Ancient Grudge to efficiently deal with Null Rod, the most effective answer to the Vault-Key combo.
Hexmage Depths, which uses Vampire Hexmage to inexpensively remove the counters from Dark Depths and put a flying, indestructible 20/20 creature token into play as early as the first turn.
Midrange
A typical midrange deck has an early game plan of mana ramp and control, but begins to play threats once it reaches four to six mana. A midrange deck will often seek to play a reactive, attrition-based game against aggro decks and a more proactive, tempo-based game against control decks. Colloquially, this is referred to as ""going bigger"" than aggro and ""getting in under"" control.

Example cards: Huntmaster of the Fells Thragtusk, Sakura-Tribe Elder
Example decks:
Jund Midrange (BRG), a powerful and flexible deck with virtually zero bad matchups thanks to the access of the most powerful cards that each color can offer: black gives Liliana of the Veil and powerful discard cards like Thoughtseize and Inquisition of Kozilek, red a reliable removal in Lightning Bolt and the green some of the best creatures like Tarmogoyf and Scavenging Ooze.
Abzan Midrange (WBG), which is similar to Jund, but trades speed for powerful white based cards like Path to Exile, Lingering Souls and Siege Rhino.
Jeskai Midrange (UWR), which has more control elements, using Sphinx's Revelation to draw into a very large number of cards and Assemble the Legion to end up swarming the board with tokens.
Temur Emerge (GUR), which leverages the Emerge mechanic introduced in Eldritch Moon to efficiently use ramp creatures such as Pilgrim's Eye and Primal Druid for their land-smoothing abilities while sacrificing them to Emerge board-stalling threats such as Elder Deep-Fiend as early as turn 4, also filling the graveyard to make Emrakul, the Promised End playable on turn 7.
Tron, which tries to build the triplet of lands known as ""Urzatron"" (Urza's Tower, Urza's Mine and Urza's Power Plant) as quickly as possible and then uses the massive amount of mana to play powerful cards like Karn Liberated and Wurmcoil Engine as early as turn 3.",You should consider Huntmaster of the Fells Thragtusk and Sakura-Tribe Elder,closed_qa
"i want to eat healthier. what kind of food in my diet should i cut out? Everyday I have a yogurt, burger, pizza, salad, and coffee.",,"It depends what your goals are for dieting. However, burgers and pizzas are generally not healthy due to a lot of trans fat and unhealthy carbs. Burgers and pizzas are also often fast food which means they are made with processed ingredients. Yogurt, salad, and coffee do not need to be cut out but in excess they can be unhealthy too. So, always eat or drink in moderation,",classification
What does a vegan lifestyle mean to you?,,"A vegan lifestyle means that you do not only not ingest any animal products, but you also do not use anything that results from utilizing non-ingestible animal products or animal labor, such as horseback riding, wearing leather, and wearing fur.",open_qa
What's the best binding setup for ski touring?,,"It depends on the emphasis of ski touring. If you favor more downhill performance, the CAST bindings is the clear winner as it utilizes the battle tested Look Pivot Bindings for downhill skiing, however, its heavy weight and complex transition actions may deter people. If you favor uphill performance, a pair of tech bindings may be a good choice, as they are light in weight, although they may not be as reliable. A good compromise between uphill and downhill may be Atomic Shift Bindings, they offer close to alpine binding experience for the downhill while being relatively light.",general_qa
What is considered a good meal?,,"Have plenty and balanced intake of carbs, proteins and fats. Have various ingredients including greens.",open_qa
What are a list of items I should have on my grocery shopping list every week,,"Plant-based milk, oatmeal, strawberries, blueberries, bananas, avocado, pineapple, kale, tofu, chickpeas, rice, sweet potatoes, bread, onion, lemons, bell peppers, mushrooms, pretzels, carrots, limes, garlic, spinach, crackers, hummus, grapes, tomatoes, salsa, tempeh, cabbage, rosemary, basil, cucumber",brainstorming
What is the sport called Cricket,,"Cricket is a sport first originated in Wngland. Cricket was invented by British. While cricket was primarily played starting 17th century, there have been some obscure and speculative references of sport being played in 13th century during era of King Edward II. Cricket is game played with a flat bat and a ball with each team consisting of 11 players. The goal of the game is to score as many runs as a team can score while getting their turn to bat and getting the other team out before they can reach their target. Each team can bat once and have to field while other team bats. Cricket is played in circular or oval shaped fields. The patch in the middle of the ground is called the pitch which is 22 yards in length. At each end of the pitch, three sticks are planted in the ground called stumps. Two small wooden pieces are placed on top of stumps called bails. This setup is called a wicket. Two batters from the batting team will bat on each end of the pitch. Runs are scored by hitting a ball and then running back and forth from one end of the pitch to another end. Batter can send the ball to the boundary while pitching on the ground one or more times to score 4 runs or hit the ball over the boundary without having it bounce on the ground to score 6 runs. Fielding team will place 11 of their players at various locations in the field. Person from the fielding team throwing the ball to a batter from batting team is called a bowler. Bowler’s goal is to get the batter out. Bowler will typically throw the ball on the pitch letting it bounce once on the pitch and eventually reaching a batter. There are different ways to dismiss or get a batter out. The bowler can throw the ball to a batter, induce a shot from the batter and have that ball caught directly by one of the fielder in the field. Bowler can also throw the ball toward a batter to make him or her miss and to hit the stumps or bails, thus disturbing his wicket. Bowler will deliver ball 6 times when their turn comes up. The grouping of 6 deliveries that a bowler throws to a batter is called an Over. Batters can also get run out while attempting to score a run and getting caught outside of their safe zone marked by a crease at each end of the pitch. Modern game of cricket contains many versions. These versions are called Test Cricket, One day internationals (ODI), and Twenty20. Originally, game of cricket lasted for many days. In the older version of the game , each team got a chance to bat twice and field twice taking as many days as possible to conclude the game. In modern version of the game, this mode of play called Test Cricket has been fixed to five days. So, Test cricket can last as many as five days.  One day internationals (also referred to as ODI) is a game of cricket that lasts one day. Each side gets 50 overs to bowl to another team and each side gets to bat once. Goal of a team is to score as many runs as possible in 50 overs while restricting their opposition to lesser score or getting them out completely. ODI typically lasts for 6 to 7 hours. Even more popular version of the game is called Twenty20 or T20. In this mode of the game, each team only gets 20 overs to bat and have to get their opponents out in 20 overs or to restrict them to lesser number of runs. This mode of cricket is very popular because the game only lasts for 3 hours requiring much less time of the viewers. There are many countries beside England that currently play cricket making the sport a truly global sport. The countries that play cricket are England, South Africa, Australia, India, Pakistan, Kenya, Zimbabwe, Bangladesh, New Zealand, Sri Lanka, West Indies.  The sport is also played by new entrants in the game, namely Netherlands, Ireland, Namibia, UAE, Afghanistan, USA, Canada, Papua New Guinea.",general_qa
What is a medallion architecture in data engineering?,,"A medallion architecture is a data engineering concept.  The idea is that system source data or system of record data is landed in a bronze layer.  In the bronze layer data is not changed, and it should match the source system exactly even if there are data quality issues.  Next in the silver layer the raw daw from bronze is transformed and joined together with data quality applied and landed in silver.  Next in the gold layer are produced datasets which are silver datasets joined together and enriched with other data like machine learning model output.  These gold datasets are then what are used and served up by the business in dashboards and reporting.",open_qa
Give me a list of animals you might raise for milk,,"Sheep, Goats, Cows",brainstorming
"Which ones of the following are considered nutrient-dense foods: soda, vegetables, fruits, chips, whole grains, seafood, cookies, eggs, beans, peas, lentils, unsalted nuts and seeds, fat-free and low-fat dairy products, fried chicken, lean meats and poultry.",,"Vegetables, fruits, whole grains, seafood, eggs, beans, peas, and lentils, unsalted nuts and seeds, fat-free and low-fat dairy products, and lean meats and poultry are nutrient-dense foods.",classification
What can be done to resolve issues with climate change,,"Climate change is dangerous as it alters the climate very rapidly leading to shift in seasons and damaging the habitats of wild life for example. Some ways to control it could be: 
1. Reduce air pollution - move towards electric vehicles. Also move towards renewable source of energy so that increased demand can be met.
2. Control ozone depletion - Ban use of chemicals that encourage ozone hole depletion as this leads to melting of polar ice caps.
3. Plant more trees - They help in regulating the environment.",brainstorming
"Which of these foods are kosher? Lobster, cheeseburger, hamburger and fries, shrimp and grits, thai red curry with tofu, thai red curry with chicken, birthday cake, lentil soup with ham hock.",,"Modern kosher interpretations of the Biblical framework has a few general guidelines. Only vegetarian animals with hooves, only fish with fins and scales, and only non-predatory birds are allowed. In addition, meat and dairy are not consumed in a single meal. Therefore the following items from that list are kosher: hamburger and fries, thai red curry with tofu, thai red curry with chicken, and birthday cake.",classification
